weather_code,max_temp,min_temp,mean_temp,snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (mp/h),range_temp,LA,Boston,Chicago,Year,Phase_encoded
3,88.8,60.3,70.0,0.0,0,15.5,28.5,1,0,0,2020,3
3,89.2,60.7,72.9,0.0,0,12.8,28.5,1,0,0,2020,3
3,98.1,60.8,75.0,0.0,0,14.9,37.3,1,0,0,2020,3
3,83.8,60.7,70.9,0.0,0,9.5,23.099999999999994,1,0,0,2020,4
53,75.8,61.7,67.0,0.0,8,10.1,14.099999999999994,1,0,0,2020,4
51,75.4,60.7,66.5,0.0,3,10.9,14.700000000000005,1,0,0,2020,4
2,80.8,57.2,66.9,0.0,0,18.7,23.599999999999994,1,0,0,2020,4
3,89.6,61.3,73.7,0.0,0,18.0,28.3,1,0,0,2020,5
0,96.8,60.3,78.3,0.0,0,16.8,36.5,1,0,0,2020,5
0,98.6,67.1,83.0,0.0,0,15.0,31.5,1,0,0,2020,5
0,93.8,62.2,78.2,0.0,0,12.8,31.599999999999994,1,0,0,2020,6
3,86.4,58.1,69.2,0.0,0,10.8,28.300000000000004,1,0,0,2020,6
2,79.2,57.3,67.1,0.0,0,12.5,21.90000000000001,1,0,0,2020,6
2,82.0,57.9,67.9,0.0,0,12.6,24.1,1,0,0,2020,6
3,83.5,60.4,70.3,0.0,0,10.9,23.1,1,0,0,2020,6
3,78.6,60.8,67.8,0.0,0,11.6,17.799999999999997,1,0,0,2020,7
3,78.6,62.5,68.3,0.0,0,10.1,16.099999999999994,1,0,0,2020,7
3,78.9,60.5,67.6,0.0,0,10.5,18.40000000000001,1,0,0,2020,7
3,77.1,61.3,67.3,0.0,0,12.2,15.799999999999995,1,0,0,2020,8
3,76.9,58.3,65.5,0.0,0,12.5,18.60000000000001,1,0,0,2020,8
3,78.3,59.8,65.9,0.0,0,10.6,18.5,1,0,0,2020,8
3,82.4,58.6,67.4,0.0,0,12.3,23.800000000000004,1,0,0,2020,7
3,82.9,59.6,68.4,0.0,0,10.7,23.300000000000004,1,0,0,2020,6
3,82.5,59.9,68.2,0.0,0,11.9,22.6,1,0,0,2020,5
3,80.7,60.6,67.8,0.0,0,10.9,20.1,1,0,0,2020,5
3,81.3,60.7,68.6,0.0,0,10.4,20.599999999999994,1,0,0,2020,4
3,79.9,58.9,68.1,0.0,0,9.8,21.000000000000007,1,0,0,2020,3
3,77.0,63.7,68.3,0.0,0,9.6,13.299999999999995,1,0,0,2020,2
51,76.7,62.0,67.3,0.0,11,14.0,14.700000000000005,1,0,0,2020,2
3,78.6,57.8,67.6,0.0,0,12.4,20.8,1,0,0,2020,3
3,78.8,61.3,67.3,0.0,0,12.2,17.5,1,0,0,2020,3
3,82.1,60.9,68.4,0.0,0,10.1,21.2,1,0,0,2020,3
0,85.8,59.0,70.6,0.0,0,11.2,26.8,1,0,0,2020,3
0,88.5,60.9,73.2,0.0,0,12.6,27.6,1,0,0,2020,4
0,93.4,61.7,75.2,0.0,0,12.7,31.700000000000003,1,0,0,2020,4
0,92.8,61.6,76.3,0.0,0,10.9,31.2,1,0,0,2020,4
0,90.4,61.3,75.3,0.0,0,12.2,29.10000000000001,1,0,0,2020,5
3,86.9,61.9,72.8,0.0,0,9.7,25.000000000000007,1,0,0,2020,5
3,86.0,62.2,72.2,0.0,0,10.3,23.8,1,0,0,2020,5
3,90.5,60.3,72.5,0.0,0,11.4,30.200000000000003,1,0,0,2020,5
0,95.6,62.5,76.6,0.0,0,12.0,33.099999999999994,1,0,0,2020,6
1,95.0,65.6,78.8,0.0,0,11.9,29.40000000000001,1,0,0,2020,6
1,90.5,66.3,76.6,0.0,0,10.0,24.200000000000003,1,0,0,2020,6
2,85.7,63.0,72.6,0.0,0,10.0,22.700000000000003,1,0,0,2020,6
2,80.1,60.8,70.0,0.0,0,11.5,19.3,1,0,0,2020,7
1,82.0,58.6,68.8,0.0,0,11.4,23.4,1,0,0,2020,7
3,81.5,59.2,69.4,0.0,0,11.5,22.3,1,0,0,2020,7
0,84.9,59.9,70.8,0.0,0,10.8,25.000000000000007,1,0,0,2020,8
